data,label,cut_data
nr的人物简介是,1,nr 人物 简介
nr的人物简介有,1,nr 人物 简介
nr的介绍有,1,nr 介绍
nr的人物介绍是,1,nr 人物 介绍
介绍一下nr,1,介绍 一下 nr
介绍一下nr的生平经历,1,介绍 一下 nr 生平 经历
nr的出生地在,2,nr 出生地
nr出生在哪里,2,nr 出生
nr出生在何地,2,nr 出生 何地
nr出生在什么地方,2,nr 出生 地方
nr出生的地方,2,nr 出生 地方
nr出生于,2,nr 生于
nr在哪里出生,2,nr 出生
nr是哪里人,2,nr
nr是哪里的人,2,nr
nr籍贯是,2,nr 籍贯
nr出生在哪里,2,nr 出生
nr的人生成就是,3,nr 人生 成就
nr的主要成就有,3,nr 主要 成就
nr的荣誉有,3,nr 荣誉
nr的杰出成就有,3,nr 杰出成就
nr的其他称呼有,4,nr 称呼
nr的昵称是,4,nr 昵称
nr的其他名字有,4,nr 名字
nr的小名是,4,nr 小名
nr的名字是,4,nr 名字
nr的名字大全,4,nr 名字 大全
nr的绰号有,4,nr 绰号
nr的俗称是,4,nr 俗称
nr人称,4,nr 人称
nr有哪些称呼,4,nr 称呼
nr的主要经历有,5,nr 主要 经历
nr的人生经历过程,5,nr 人生 经历 过程
nr的生平经历有,5,nr 生平 经历
nr的个人经历,5,nr 个人经历
nr的个人事迹,5,nr 个人 事迹
nr的人生历程,5,nr 人生 历程
pnt的作者是,6,pnt 作者
pnt的创作者是,6,pnt 创作者
pnt出自何人之手,6,pnt 出自 何人之手
pnt出自谁的笔下,6,pnt 出自 笔下
pnt是哪位诗人的作品,6,pnt 哪位 诗人 作品
谁写的pnt,6,写 pnt
谁创作的pnt,6,创作 pnt
谁著作的pnt,6,著作 pnt
pnt是由谁创作的,6,pnt 创作
pnt的主要内容是,7,pnt 主要 内容
pnt的全诗内容是,7,pnt 全诗 内容
pnt的全部内容是,7,pnt 全部内容
pnt的内容是,7,pnt 内容
pnt的全文是,7,pnt 全文
pnt的原文是,7,pnt 原文
pnt包含的诗句有,7,pnt 包含 诗句
pnt描写了哪些状物,8,pnt 描写 状物
pnt描写了哪些物体,8,pnt 描写 物体
pnt是关于哪种状物的,8,pnt 状物
pnt主要描写了哪类状物,8,pnt 主要 描写 哪类 状物
pnt 诗句中提及到的人,9,pnt 诗句 提及
pnt涉及到的人有,9,pnt 涉及
pnt包含的人有,9,pnt 包含
pnt诗句中提及到的人物有,9,pnt 诗句 提及 人物
pnt中涉及到的人物有,9,pnt 涉及 人物
pnt包含的人物有,9,pnt 包含 人物
pnt诗句中提及的人名有,9,pnt 诗句 提及 人名
pnt中涉及到的人名有,9,pnt 涉及 人名
pnt中包含的人名有,9,pnt 包含 人名
pnt中提到的人名有,9,pnt 提到 人名
pnt中提到的人有哪些,9,pnt 提到
pnt中提到的人物有哪些,9,pnt 提到 人物
pnt 诗句中提及到的地点,10,pnt 诗句 提及 地点
pnt涉及到的地点有,10,pnt 涉及 地点
pnt包含的地点有,10,pnt 包含 地点
pnt诗句中提及到的地理位置有,10,pnt 诗句 提及 地理位置
pnt中涉及到的地理位置有,10,pnt 涉及 地理位置
pnt包含的地理位置有,10,pnt 包含 地理位置
pnt诗句中提及的位置有,10,pnt 诗句 提及 位置
pnt中涉及到的位置有,10,pnt 涉及 位置
pnt中包含的位置有,10,pnt 包含 位置
pnt诗句中提及的地名,10,pnt 诗句 提及 地名
pnt中涉及到的地名有,10,pnt 涉及 地名
pnt中包含的地名有,10,pnt 包含 地名
pnt 诗句中提及到的朝代,11,pnt 诗句 提及 朝代
pnt涉及到的朝代有,11,pnt 涉及 朝代
pnt包含的朝代有,11,pnt 包含 朝代
pnt诗句中提及到的年代有,11,pnt 诗句 提及 年代
pnt中涉及到的年代有,11,pnt 涉及 年代
pnt包含的年代有,11,pnt 包含 年代
pnt诗句中提及的时间有,11,pnt 诗句 提及 时间
pnt中涉及到的时间有,11,pnt 涉及 时间
pnt中包含的时间有,11,pnt 包含 时间
vnt 诗句中提及到的地点,12,vnt 诗句 提及 地点
pnt涉及到的诗词有,12,pnt 涉及 诗词
pnt包含的诗词有,12,pnt 包含 诗词
pnt诗句中提及到的诗词有,12,pnt 诗句 提及 诗词
pnt中涉及到的重要词语有,12,pnt 涉及 重要 词语
pnt包含的重要词语有,12,pnt 包含 重要 词语
pnt诗句中提及的特殊意义的词有,12,pnt 诗句 提及 特殊 意义 词有
pnt中涉及到的特殊意义的词有,12,pnt 涉及 特殊 意义 词有
pnt中包含的特殊意义的词有,12,pnt 包含 特殊 意义 词有
pnt诗句中提及的有含义的词语,12,pnt 诗句 提及 含义 词语
pnt中涉及到的地名有含义的词语,12,pnt 涉及 地名 含义 词语
pnt中包含的特殊意义的词语有,12,pnt 包含 特殊 意义 词语
pnt写于哪个朝代,13,pnt 写于 朝代
pnt著于什么时候,13,pnt 著于
pnt创作于什么年代,13,pnt 创作 年代
pnt创作于哪个朝代,13,pnt 创作 朝代
pnt是哪个朝代的,13,pnt 朝代
pnt是什么时间写的,13,pnt 时间 写
pnt是哪个时期的作品,13,pnt 时期 作品
pnt是哪个年代的作品,13,pnt 年代 作品
pnt是什么类型的诗,14,pnt 类型 诗
pnt属于哪种类别的诗,14,pnt 属于 种类 诗
pnt是什么类别,14,pnt 类别
pnt的译文是,15,pnt 译文
pnt的整体译文是,15,pnt 整体 译文
pnt的全文翻译是,15,pnt 全文 翻译
pnt的整体翻译是,15,pnt 整体 翻译
pnt的全文意思是,15,pnt 全文 意思
pnt的整体解析是,15,pnt 整体 解析
pnt的意思是,15,pnt 意思
pnt的翻译是,15,pnt 翻译
pnt的解析是,15,pnt 解析
pnt的写作背景是,16,pnt 写作 背景
诗人创作pnt的背景是,16,诗人 创作 pnt 背景
pnt的背景介绍,16,pnt 背景 介绍
在什么情况下创作的pnt,16,情况 创作 pnt
介绍pnt的创作背景,16,介绍 pnt 创作 背景
pnt的鉴赏是,17,pnt 鉴赏
pnt的赏析是,17,pnt 赏析
pnt表达的情感是,17,pnt 表达 情感
如何鉴赏pnt,17,鉴赏 pnt
如何赏析pnt,17,赏析 pnt
vnt的上一句诗句是,18,vnt 一句 诗句
vnt上一句是什么,18,vnt 一句
vnt诗句的上一句诗是,18,vnt 诗句 一句 诗是
vnt的上一句,18,vnt 一句
vnt的下一句诗句是,19,vnt 一句 诗句
vnt下一句是什么,19,vnt 一句
vnt诗句的下一句诗是,19,vnt 诗句 一句 诗是
vnt的下一句,19,vnt 一句
vnt的下一句是,19,vnt 一句
vnt的作者是,20,vnt 作者
vnt的创作者是,20,vnt 创作者
vnt是出自谁的笔下,20,vnt 出自 笔下
vnt出自何人之手,20,vnt 出自 何人之手
vnt是哪位诗人的作品,20,vnt 哪位 诗人 作品
谁写的vnt,20,写 vnt
谁著作的vnt,20,著作 vnt
谁创作的vnt,20,创作 vnt
vnt是由谁创作的,20,vnt 创作
vnt全文是,21,vnt 全文
vnt的原诗是,21,vnt 原诗
vnt的所有诗句有,21,vnt 诗句
vnt的原诗包含哪些诗句,21,vnt 原诗 包含 诗句
vnt整首诗,21,vnt 整首 诗
vnt是哪首古诗,21,vnt 哪首 古诗
vnt所属于的诗是,21,vnt 属于 诗
vnt所属的诗是,21,vnt 所属 诗
vnt的所有诗句有,21,vnt 诗句
vnt 诗句中提及到的人,22,vnt 诗句 提及
vnt涉及到的人有,22,vnt 涉及
vnt包含的人有,22,vnt 包含
vnt诗句中提及到的人物有,22,vnt 诗句 提及 人物
vnt中涉及到的人物有,22,vnt 涉及 人物
vnt包含的人物有,22,vnt 包含 人物
vnt诗句中提及的人名有,22,vnt 诗句 提及 人名
vnt中涉及到的人名有,22,vnt 涉及 人名
vnt中包含的人名有,22,vnt 包含 人名
vnt中提到的人有,22,vnt 提到
vnt中提到的人名有,22,vnt 提到 人名
vnt中提到的人物有,22,vnt 提到 人物
vnt 诗句中提及到的地点,23,vnt 诗句 提及 地点
vnt涉及到的地点有,23,vnt 涉及 地点
vnt包含的地点有,23,vnt 包含 地点
vnt诗句中提及到的地理位置有,23,vnt 诗句 提及 地理位置
vnt中涉及到的地理位置有,23,vnt 涉及 地理位置
vnt包含的地理位置有,23,vnt 包含 地理位置
vnt诗句中提及的位置有,23,vnt 诗句 提及 位置
vnt中涉及到的位置有,23,vnt 涉及 位置
vnt中包含的位置有,23,vnt 包含 位置
vnt诗句中提及的地名,23,vnt 诗句 提及 地名
vnt中涉及到的地名有,23,vnt 涉及 地名
vnt中包含的地名有,23,vnt 包含 地名
vnt提到的地方有,23,vnt 提到 地方
vnt提到了哪些地方,23,vnt 提到 哪些地方
vnt提到了哪些位置,23,vnt 提到 位置
vnt提到了哪些地理位置,23,vnt 提到 地理位置
vnt 诗句中提及到的诗词有哪些,24,vnt 诗句 提及 诗词
vnt涉及到的诗词有,24,vnt 涉及 诗词
vnt包含的诗词有,24,vnt 包含 诗词
vnt诗句中提及到的诗词有,24,vnt 诗句 提及 诗词
